rank,firm_name,priority_score,town,adviser_count,top_mandate,brief_who,brief_why,brief_opener
11,AAB Wealth Chartered Financial Planners,47.8,Aberdeen,13,multi_asset_cautious,"A 13-adviser firm operating across five cities, focused on pension transfers and investment advice for retail and professional clients—high VouchedFor presence (588 reviews, 9 top-rated advisers) indicates strong retail orientation.","They don't manage investments in-house and their best fit is cautious multi-asset, making WS Keyridge Portfolio III and IV natural options for pension consolidation clients seeking risk-managed growth without equity-heavy volatility.",You're one of the larger pension transfer specialists in Scotland with advisers across five offices—how are you currently positioning drawdown portfolios for clients coming out of DB schemes?
12,Cullen Wealth Limited,46.2,,22,multi_asset_cautious,"A 22-adviser firm operating across 8 UK cities, outsourcing investment management entirely—523 client reviews suggest a retail/mass affluent client base requiring external fund solutions.",Their cautious mandate fit and outsourced model point to WS Keyridge Portfolio III and WS Keyridge DRM III—risk-managed multi-asset funds designed for advisers who need off-the-shelf solutions for lower-risk clients.,Cullen Wealth runs a multi-city advice model without in-house investment management—how are you currently sourcing cautious multi-asset funds across your regional offices?
13,Flying Colours Advice Limited,46.2,Bracknell,16,multi_asset_cautious,"A 16-adviser firm operating across six locations from Bracknell, serving retail and professional pension transfer clients—their 461 VouchedFor reviews and seven top-rated advisers indicate high-volume retail advice with outsourced investment management.","Their pension transfer specialisation and cautious mandate fit aligns with WS Keyridge Portfolio III and IV for accumulation clients, and WS Keyridge Diversified Monthly Income for those entering drawdown—all available on major platforms and designed for advisers who don't run investments in-house.",Flying Colours has seven advisers rated in the top tier on VouchedFor—I'm calling to ask how you're currently positioning cautious multi-asset for pension transfer clients moving into drawdown.
14,Westminster Wealth Management LLP,45.3,London,15,multi_asset_cautious,"A 15-adviser City firm with substantial retail reach (1,331 VouchedFor reviews, 14 top-rated advisers) focused on pension transfers and investment advice—they don't manage money in-house, so external fund selection is core to their proposition.",Their pension transfer specialism and cautious mandate fit points to WS Keyridge Portfolio III or WS Keyridge DRM III (volatility managed)—both risk profile 3 solutions suited to clients consolidating defined benefit transfers who need controlled drawdown outcomes.,You've got 14 advisers rated top on VouchedFor handling pension transfers—how are you currently building portfolios for clients coming out of DB schemes?
15,PERSPECTIVE (SOUTH EAST) LIMITED,45.2,Milton Keynes,11,multi_asset_cautious,"Mid-sized Milton Keynes firm with 11 advisers serving retail and professional clients, focused on pension transfers and investment advice—260 VouchedFor reviews and 2 top-rated advisers suggest an established client base likely skewing toward pre-retirees and retirees.","They don't manage investments in-house, so they need external solutions for pension transfer clients—WS Keyridge Portfolio III or IV for cautious multi-asset, or WS Keyridge DRM III for volatility-managed drawdown where sequence risk matters.","Your firm handles pension transfers for retail clients in Milton Keynes—I'm calling because we run volatility-managed multi-asset funds specifically designed for drawdown portfolios, and I'd like to understand how you're currently solving for sequence risk."
16,Ascot Wealth Management,45.2,Ascot,5,multi_asset_cautious,"Five-adviser firm in affluent Ascot serving retail and professional clients, with pension transfer authorisation and discretionary management permissions—701 VouchedFor reviews and three top-rated advisers indicate an established retail client book likely skewing towards pre-retirees and HNW individuals.","Their cautious mandate fit and pension transfer specialism align with WS Keyridge Portfolio III and IV for accumulation clients, WS Keyridge DRM III-IV for volatility-sensitive drawdown portfolios, and WS Keyridge Diversified Monthly Income for clients needing natural income in retirement.",You're one of the highest-reviewed firms in Berkshire with three top-rated advisers—I'm calling to see whether our risk-profiled multi-asset range could save your team time on cautious portfolio construction for pension transfer clients.
17,Amber River Shipman Wealth,44.8,Exeter,9,multi_asset_cautious,"Mid-sized regional firm with 9 advisers across 3 cities in the South West, serving both retail and professional clients with a focus on pension transfers and discretionary investment management.","Their cautious mandate fit and pension transfer specialism align with WS Keyridge Portfolio III and WS Keyridge DRM III for accumulation clients, or WS Keyridge Diversified Monthly Income for clients drawing pension income.",Your Exeter team runs discretionary portfolios across three locations—I'm calling to see whether you use external multi-asset funds in your cautious risk models or build everything in-house.
18,Just Mortgages Direct Limited,44.2,,20,multi_asset_cautious,"A 20-adviser mortgage-focused firm operating across 17 UK cities, likely serving high volumes of retail homeowners—their 1,464 VouchedFor reviews and 19 top-rated advisers suggest strong client throughput, though they don't manage investments directly or hold pension transfer permissions.","Mortgage clients often need a first investment home for lump sums or regular savings; WS Keyridge Portfolio III (risk profile 3, IA Mixed Investment 20-60% Shares) suits cautious first-time investors, while WS Keyridge DRM III offers the same risk level with volatility management for clients nervous about market swings.","Your advisers are generating serious client trust across 17 cities—are those clients asking about where to put savings once the mortgage deposit is sorted, and if so, who handles that for you?"
19,Hoyl Independent Advisers Ltd,43.8,,18,multi_asset_cautious,"An 18-adviser firm operating across six UK cities, outsourcing investment management (they don't run portfolios in-house) and serving retail clients—1,316 VouchedFor reviews with nine top-rated advisers suggests a high-volume, advice-led business.",Their cautious mandate preference and outsourced model makes WS Keyridge Portfolio III and WS Keyridge DRM III direct fits—the DRM range's volatility management may appeal to advisers explaining risk to retail clients who read reviews before choosing an adviser.,Your firm covers six cities with nearly 20 advisers and no in-house DFM—how are you currently sourcing cautious multi-asset solutions across the regional offices?
20,Forrester Boyd Wealth Management,43.8,,12,multi_asset_cautious,"A 12-adviser firm operating across three locations; all 12 advisers hold top-rated VouchedFor status (958 reviews total), and since they don't manage investments in-house, they rely on external fund solutions for client portfolios.","Their cautious multi-asset mandate fit aligns with WS Keyridge Portfolio III and WS Keyridge DRM III—both designed for lower-risk client profiles, with DRM offering volatility management that appeals to firms outsourcing investment decisions who want smoother client outcomes.",Your team has all 12 advisers rated top on VouchedFor across three offices—I'm calling because we work with similar advice-led firms who outsource portfolio management and want multi-asset solutions that match cautious client risk profiles.
21,Radiant Financial Planning Limited,43.8,Market Harborough,5,multi_asset_cautious,"Five-adviser firm in Market Harborough serving retail and professional clients across five locations, with strong pension transfer activity (189 VouchedFor reviews, 4 top-rated advisers) and no in-house investment management.",WS Keyridge Portfolio III and WS Keyridge DRM III suit their pension transfer clients seeking cautious growth; WS Keyridge Diversified Monthly Income addresses decumulation needs for those drawing retirement income.,Radiant has four advisers rated top on VouchedFor and a clear focus on pension transfers—how are you currently positioning cautious multi-asset for clients moving into drawdown?
22,Talis Financial Advisers Ltd,43.6,Ashford,7,multi_asset_cautious,"A 7-adviser firm in Kent serving retail and professional clients, with a clear focus on pension transfers—258 VouchedFor reviews and 3 top-rated advisers suggest an established local practice with volume capacity.","They don't manage investments in-house, so they need third-party solutions; WS Keyridge Portfolio III and DRM III suit their pension transfer clients who typically need cautious, decumulation-friendly multi-asset exposure with clear risk labelling.",Your firm handles pension transfers for retail clients in Kent—I'm calling to see whether you're looking at any new cautious multi-asset options for drawdown portfolios.
23,Crowe Financial Planning UK Limited,43.6,Reading,7,multi_asset_cautious,"A 7-adviser firm in Reading serving retail and professional clients, with all advisers top-rated on VouchedFor (185 reviews) and authorised for pension transfers—likely handling DB transfers and decumulation planning without managing investments in-house.",Their pension transfer work and cautious mandate fit points to WS Keyridge Portfolio III or IV for accumulation clients and WS Keyridge DRM III or IV for those in drawdown who need volatility management to reduce sequence-of-returns risk.,Your team handles pension transfers without running discretionary portfolios—I'm calling to see whether you're reviewing the funds you recommend for decumulation clients this year.
24,KYMIN FINANCIAL SERVICES LIMITED,43.6,Newport,5,multi_asset_cautious,"Five-adviser firm in Newport serving retail and professional clients, with pension transfer authorisation and strong client engagement (266 VouchedFor reviews across 5 top-rated advisers), but they outsource investment management rather than running portfolios in-house.","Their pension transfer focus and cautious mandate fit points to clients in or approaching drawdown—WS Keyridge Portfolio III or IV for accumulation, or WS Keyridge DRM III for clients wanting volatility-managed decumulation where sequence risk matters.","Your team has built something in Newport—266 client reviews across five advisers tells me you're doing pension work that actually lands, and I wanted to talk about how our volatility-managed range supports drawdown clients."
25,Apogee Wealth Management Ltd,43.0,Knutsford,10,multi_asset_cautious,"Ten-adviser firm in Knutsford serving retail and professional clients, with 8 of 10 advisers top-rated on VouchedFor and pension transfer authorisation—indicating a mature practice handling accumulation and decumulation advice for an affluent Cheshire client base.","They don't manage investments in-house, so they need external fund solutions; WS Keyridge Portfolio III and WS Keyridge DRM III-IV fit their cautious multi-asset mandate for pension transfer clients who need volatility-managed growth without excessive drawdown risk.",Your firm handles pension transfers for clients who probably can't afford a 30% drawdown—I'm calling about how Keyridge's volatility-managed range keeps risk profile 3-4 clients invested through choppy markets.
26,Fairstone Financial Management Limited,43.0,Sunderland,5,multi_asset_cautious,"Five-adviser firm operating across five cities, focused on pension transfers and investment advice for both retail and professional clients—they don't manage investments in-house, so they rely on external fund solutions.",Their pension transfer specialism and cautious mandate fit points to WS Keyridge Portfolio III or WS Keyridge DRM III—volatility-managed multi-asset funds suited to clients transitioning pension assets who need downside protection without active portfolio management.,You're advising pension transfer clients across five locations without running money in-house—how are you currently sourcing the cautious multi-asset building blocks for those portfolios?
27,Amber River Leodis Wealth,42.7,Chesterfield,10,multi_asset_cautious,"A 10-adviser firm in Chesterfield operating across three locations, focused on pension transfers and investment advice for retail clients—they don't manage investments in-house, so they outsource to external fund solutions.","Their pension transfer specialism and cautious mandate fit points to WS Keyridge Portfolio III or IV for accumulation clients, and WS Keyridge Diversified Monthly Income for those drawing retirement income—both available on the major platforms they likely use.",Your team handles a lot of pension transfers across your three offices—how are you currently positioning clients who've just crystallised and need income without taking on too much risk?
28,Prosser Knowles Associates Limited,42.6,,10,multi_asset_cautious,"A 10-adviser firm operating across four locations, with 528 VouchedFor reviews and four top-rated advisers, suggesting an established retail client base; they do not manage investments in-house, meaning they outsource to DFMs or use third-party model portfolios.",Their cautious mandate fit and outsourced investment model make WS Keyridge Portfolio III and WS Keyridge DRM III natural options—the DRM range's volatility management may appeal to advisers serving risk-averse clients across multiple regions without centralised investment oversight.,Your firm has four advisers rated in the top tier on VouchedFor across multiple locations—how do you currently source the cautious multi-asset solutions your clients seem to favour?
29,Hartley Ross,42.6,Gerrards Cross,5,multi_asset_cautious,"Five-adviser practice in Gerrards Cross operating across three locations, serving retail and professional clients with a focus on pension transfers—the 347 VouchedFor reviews and three top-rated advisers indicate an established client book, likely weighted toward drawdown and retirement planning.","They don't manage investments in-house, so they need external solutions for pension consolidation clients; WS Keyridge Portfolio III and IV (risk profiles 3-4) match their cautious mandate fit, and WS Keyridge Diversified Monthly Income serves clients requiring regular withdrawals in drawdown.",You're one of the few firms in the Home Counties running pension transfers across multiple offices without an in-house DFM—how are you currently sourcing risk-rated portfolios for clients consolidating defined benefit transfers?
30,William Highbourne Wealth Management Ltd,42.4,Devon,4,multi_asset_cautious,"Four-adviser firm in Devon serving retail and professional clients, with all advisers top-rated on VouchedFor (215 reviews) and authorisation for both pension transfers and discretionary investment management.","Their pension transfer and discretionary management work with retail clients points to WS Keyridge Portfolio III or IV for cautious accumulators, and WS Keyridge Diversified Monthly Income for clients drawing retirement income.",Your firm handles pension transfers with discretionary permissions—how are you currently positioning cautious multi-asset for clients moving DB transfers into drawdown?
31,Perspective (North East) Ltd,42.2,,18,multi_asset_cautious,"An 18-adviser firm operating across 7 cities in the North East; they do not manage investments in-house, meaning they rely on external fund solutions for client portfolios.","WS Keyridge Portfolio III and IV align with their cautious multi-asset mandate fit, and the DRM III-IV range offers volatility-managed options for clients wanting smoother return profiles—both relevant given they outsource investment management entirely.",Perspective covers seven cities with nearly 20 advisers—how are you currently sourcing cautious multi-asset solutions for that client base?
32,InterestMe Financial Planning Ltd,42.2,London,5,multi_asset_cautious,"A 5-adviser firm in the City of London with 744 VouchedFor reviews across 5 top-rated advisers, indicating high-volume retail advice focused on pension transfers and investment planning—they don't manage investments in-house, so they'll use third-party solutions or platform models.","Their pension transfer specialism paired with a cautious mandate fit points directly to WS Keyridge Portfolio III and WS Keyridge DRM III-IV—the DRM range's volatility management is particularly relevant for clients consolidating DB pensions who need to protect capital while generating growth. For clients drawing income, WS Keyridge Diversified Monthly Income fills the decumulation gap.",You're advising a lot of pension transfer clients in the City—how are you currently solving for the cautious-to-moderate risk profile when they don't want full DFM fees?
33,Gerald Pepper Financial Management Limited,41.8,Hertford,6,multi_asset_cautious,"Six-adviser firm in Hertford serving retail and professional clients, with pension transfers as a core specialism—449 VouchedFor reviews and four top-rated advisers indicate an established local practice with high client retention.","They authorise pension transfers but do not manage investments in-house, so they need external fund solutions for drawdown portfolios—WS Keyridge Portfolio III or IV (risk profiles 3-4) and WS Keyridge Diversified Monthly Income suit cautious retirees seeking income or capital preservation.",You've built something impressive in Hertford with four top-rated advisers—I'm calling to see whether our multi-asset range could support your pension transfer clients who need a home for their drawdown pots.
34,The Aspire Partnership LLP,41.8,Bristol,5,multi_asset_cautious,"Five-adviser firm in Bristol with strong retail client focus—391 VouchedFor reviews across 5 top-rated advisers suggests high-volume pension transfer work, and since they don't manage investments in-house, they place client assets externally.","Their pension transfer specialism and cautious mandate fit point to WS Keyridge Portfolio III or IV for accumulation clients, and WS Keyridge Diversified Monthly Income for those moving into drawdown—both available on major platforms without requiring discretionary permissions they don't hold.",Your firm handles a high volume of pension transfers for retail clients—how are you currently positioning cautious multi-asset portfolios for clients who've just consolidated their pensions?
35,Premier Financial Planning,41.7,Hornchurch,8,multi_asset_cautious,"Eight-adviser firm in Hornchurch serving retail and professional clients, with pension transfers as a core specialism—888 VouchedFor reviews and five top-rated advisers indicate significant retail volume and client trust.","They're authorised for pension transfers but don't manage investments in-house, making them buyers of third-party funds—WS Keyridge Portfolio III or WS Keyridge DRM III suit their cautious mandate fit, with DRM's volatility management particularly relevant for clients consolidating pension pots who need downside protection.","With 888 client reviews and a focus on pension transfers, you're clearly handling significant retail flows into cautious mandates—I'd like to show you how our volatility-managed multi-asset range handles drawdowns for exactly that client profile."
36,Viva Retirement Solutions,41.3,,18,multi_asset_cautious,"An 18-adviser retirement planning firm operating across 17 UK cities, with 16 top-rated advisers on VouchedFor—they don't manage investments in-house, so they're using third-party solutions for client portfolios.",Their retirement focus and cautious mandate fit points directly to WS Keyridge Portfolio III and WS Keyridge Diversified Monthly Income—lower-risk multi-asset with income generation for drawdown clients.,"With 18 advisers spread across 17 locations and no in-house investment management, I wanted to ask how you're currently sourcing multi-asset solutions for your retirement clients."
37,Aviva Equity Release Advice,41.3,,16,multi_asset_cautious,"Mid-sized equity release specialist with 16 advisers operating nationally across 15 cities; clients are likely older homeowners (55+) unlocking property wealth, with strong retail engagement shown by 939 VouchedFor reviews.","Equity release clients typically have low risk tolerance and income needs — WS Keyridge Portfolio III (IA Mixed Investment 0-35% Shares) and WS Keyridge Diversified Monthly Income align with their multi_asset_cautious mandate fit, and since the firm doesn't manage investments in-house, they may need a straightforward platform-available solution.",Your advisers are helping clients across 15 cities access their property wealth — what investment options are you currently recommending when those clients want to put some of that capital to work?
38,IronMarket Wealth,41.2,Newcastle,3,multi_asset_cautious,"Three-adviser firm in Newcastle serving both retail and professional clients, with discretionary permissions and pension transfer authorisation—485 VouchedFor reviews with all three advisers top-rated suggests established client relationships and likely decumulation work.","Their cautious mandate profile points to WS Keyridge Portfolio III or WS Keyridge DRM III for risk-managed accumulation, and WS Keyridge Diversified Monthly Income for clients in drawdown needing regular distributions from pension transfers.",Your team runs discretionary portfolios and handles pension transfers—are you building those cautious portfolios in-house or using external multi-asset solutions?
39,Holden & Partners,41.0,,10,multi_asset_cautious,A 10-adviser firm operating across 4 cities with 9 of 10 advisers rated top-tier on VouchedFor—they outsource investment management (no DIM permissions) and likely use DFM or platform model portfolios for client assets.,Their cautious mandate profile and outsourced investment model points directly to WS Keyridge Portfolio III or WS Keyridge DRM III for lower-risk clients seeking multi-asset diversification without the firm needing to run money in-house.,"Holden & Partners runs a multi-city operation with nearly all advisers VouchedFor top-rated—I'm calling to see whether the multi-asset cautious portfolios you're placing clients into are delivering what you need, or if there's a gap worth discussing."
40,Amber River True Bearing,41.0,,10,multi_asset_cautious,"A 10-adviser firm operating across four cities with 333 client reviews and three top-rated advisers on VouchedFor — mid-sized, regionally spread, and outsourcing investment management.","Since they don't manage investments in-house, WS Keyridge Portfolio III and IV offer ready-made multi-asset solutions at cautious risk levels that match their mandate fit, available on all major platforms their advisers likely use.",Your team covers four locations with different client demographics — how are you currently keeping investment recommendations consistent across offices?
41,Lawrence Clarke Ltd,40.7,,10,multi_asset_cautious,"A 10-adviser firm near Fareham, Hampshire that outsources investment management entirely—they don't run money in-house and aren't authorised for pension transfers, suggesting a retail accumulation and decumulation client base using third-party solutions.",Their cautious mandate fit and outsourced investment model makes WS Keyridge Portfolio III or WS Keyridge DRM III relevant—both sit in IA Mixed Investment 0-35% Shares with volatility controls suited to clients who need steady returns without sharp drawdowns.,"All ten of your advisers are VouchedFor top-rated, which tells me client experience matters here—how are you currently solving for cautious multi-asset when clients want something between cash and equities?"
42,Lucent Financial Planning Ltd,40.6,Solihull,5,multi_asset_cautious,"Five-adviser firm in Solihull specialising in pension transfers for retail and professional clients; they do not manage investments in-house, so outsource to third-party funds or DFMs.",Their pension transfer focus and cautious mandate fit points to WS Keyridge Portfolio III or WS Keyridge DRM III—both risk profile 3 multi-asset funds suited to clients transitioning DB pensions who need capital preservation with modest growth.,Your team has four top-rated advisers on VouchedFor handling pension transfers—how are you currently positioning cautious multi-asset for clients coming out of defined benefit schemes?
43,Fairstone Wealth Management Limited,40.4,Sunderland,4,multi_asset_cautious,Four-adviser firm in Sunderland specialising in pension transfers and investment advice for retail and professional clients—261 VouchedFor reviews and one top-rated adviser suggests an established local practice with client acquisition through referrals.,"They don't manage investments in-house, so they need third-party fund solutions for pension transfer clients. WS Keyridge Portfolio III and IV fit their cautious multi-asset mandate requirement, while WS Keyridge Diversified Monthly Income serves clients needing regular drawdown from transferred pensions.","Fairstone has built a strong client review base in the North East—I'm calling to see if your pension transfer clients are typically looking for income generation or growth accumulation, and whether our multi-asset range might fill a gap in what you're currently using."
44,"Raymond James, Hitchin",40.4,London,2,multi_asset_cautious,"Two-adviser City firm with discretionary permissions serving both retail and professional clients, primarily focused on pension transfers—350 VouchedFor reviews across two top-rated advisers indicates high client volume relative to team size.",Their pension transfer work with cautious mandate preferences aligns with WS Keyridge Portfolio III (risk profile 3) for accumulation clients and WS Keyridge Diversified Monthly Income for those drawing retirement income; their discretionary permissions mean they could use the DRM III for volatility-managed solutions.,Your firm handles a significant pension transfer book with just two advisers—how are you currently sourcing cautious multi-asset options for clients transitioning into drawdown?
45,Cooper Associates Mortgages,40.2,,34,multi_asset_cautious,"Mid-sized mortgage-origin advice firm with 34 advisers across 3 cities; they do not manage investments in-house, so they refer or outsource portfolio management—749 client reviews suggest a retail-focused, advice-led business.",Their cautious mandate fit and lack of in-house investment management makes WS Keyridge Portfolio III or WS Keyridge DRM III a natural outsourced solution—risk profile 3 funds designed for clients stepping from mortgages into long-term savings without taking equity-heavy risk.,Your firm advises 34 households across three regions but doesn't run money in-house—I'm calling to see how you're currently solving for clients who need a cautious multi-asset portfolio after the mortgage conversation.
46,Wade Wealth Partners,40.2,,5,multi_asset_cautious,"A 5-adviser firm operating across 4 cities with 744 client reviews on VouchedFor (4 top-rated advisers); they do not manage investments in-house, indicating they outsource to DFMs or use third-party fund solutions for client portfolios.",Their multi_asset_cautious mandate fit and outsourced investment approach makes WS Keyridge Portfolio III or WS Keyridge Portfolio IV (IA Mixed Investment 20-60% and 40-85% sectors) directly relevant—risk-graded multi-asset funds designed for advisers who need a ready-made solution without running money themselves.,Wade Wealth has four advisers rated in the top tier on VouchedFor across your four locations—I'm calling to see whether your current multi-asset provider is giving you the regional support to match that client footprint.
47,Depledge Strategic Wealth Management Ltd,40.2,Manchester,4,multi_asset_cautious,"Four-adviser firm in Manchester with multi-regional reach across three cities; 321 VouchedFor reviews with all four advisers top-rated suggests a retail client base that values advice quality over DIY investing—and since they don't manage investments in-house, they outsource to external solutions.",Their outsourced investment model and cautious mandate fit points directly to WS Keyridge Portfolio III or WS Keyridge DRM III—the volatility-managed DRM range may particularly appeal given their retail clients likely prioritise downside protection over aggressive growth.,"Your firm runs investments through external managers rather than in-house, and with four advisers across three locations, I'd expect you need consistent model solutions that scale—how are you currently handling that?"
48,Jordan International Bank Plc,40.2,London,1,multi_asset_cautious,"A single-adviser private banking operation in St James's serving both retail and professional clients, with discretionary management permissions and pension transfer authorisation—likely handling HNW portfolios requiring cautious, income-generating solutions.",Their multi-asset cautious mandate fit aligns with WS Keyridge Portfolio III for growth clients and WS Keyridge Diversified Monthly Income for pension drawdown cases where regular distributions matter.,Jordan International runs discretionary portfolios for private clients—I'm calling to see whether you're using external multi-asset funds for the cautious end of your risk spectrum or building everything in-house.
49,Sterling & Law Group Plc,40.1,London,6,multi_asset_cautious,"Six-adviser City firm with 366 VouchedFor reviews and four top-rated advisers, serving retail and professional clients primarily on pension transfers and investment advice—they outsource investment management.","Since they don't manage investments in-house and their mandate fit is cautious multi-asset, the WS Keyridge DRM III and DRM IV (volatility-managed) would suit pension transfer clients approaching drawdown who need sequence-of-returns protection, while WS Keyridge Diversified Monthly Income fits those already in retirement needing natural yield.",Your team has built a serious pension transfer practice with four top-rated advisers—we work with firms who outsource investment management and wanted to show you how our volatility-managed range handles the sequencing risk your drawdown clients worry about.
50,Truly Independent Limited,39.8,,6,multi_asset_cautious,"Six-adviser firm operating across six cities nationally, outsourcing investment management entirely—314 VouchedFor reviews with five top-rated advisers indicates high client volume and retention focus.","WS Keyridge Portfolio III and WS Keyridge DRM III suit their cautious mandate preference, with the DRM range offering volatility management for clients who need smoother returns across their multi-regional client base.",Your firm runs six locations without in-house investment management—how are you currently sourcing cautious multi-asset solutions for clients across all those offices?
